t_s,rpm,u1_suction,u2_circ,u3_inlet,Q_Nm3h,p_disch_kPa,T_disch_C,p_suction_kPa,T_suction_C,vib_um
806,7193,69.5,25.5,69.7,7162.0,192.21,40.45,102.58,24.50,11.40
807,7195,69.6,25.4,69.7,7314.8,190.10,41.79,100.74,25.40,11.07
808,7197,69.7,25.3,69.8,7330.7,190.64,41.26,101.51,24.39,12.17
809,7198,69.9,25.1,69.9,7407.6,191.67,40.91,101.77,24.24,12.28
810,7200,70.0,25.0,70.0,7362.0,191.18,42.38,101.87,25.34,11.14
811,7200,70.0,25.0,70.0,7460.7,190.00,42.53,100.77,25.16,11.50
812,7200,70.0,25.0,70.0,7400.8,191.09,40.45,101.90,24.95,11.99
813,7200,70.0,25.0,70.0,7334.8,190.75,41.86,100.98,24.34,10.04
814,7200,70.0,25.0,70.0,7304.9,190.71,38.60,101.02,25.13,10.69
815,7200,70.0,25.0,70.0,7378.6,191.75,43.16,101.77,25.34,11.05
816,7200,70.0,25.0,70.0,7384.4,190.51,40.50,101.35,24.82,11.77
817,7200,70.0,25.0,70.0,7345.9,190.41,40.76,101.08,24.05,11.44
818,7200,70.0,25.0,70.0,7364.0,190.86,39.90,101.52,24.52,11.29
819,7200,70.0,25.0,70.0,7299.5,190.41,39.95,101.06,24.34,10.45
820,7200,70.0,25.0,70.0,7261.4,191.05,40.76,101.52,24.92,12.04
821,7200,70.0,25.0,70.0,7371.0,190.75,41.06,101.48,25.14,11.17
822,7200,70.0,25.0,70.0,7303.3,190.16,39.36,101.04,24.76,11.59
823,7200,70.0,25.0,70.0,7415.1,190.39,41.09,100.79,25.20,11.32
824,7200,70.0,25.0,70.0,7386.1,190.75,41.21,101.19,24.43,11.41
825,7200,70.0,25.0,70.0,7252.7,190.45,40.26,101.19,24.40,11.22
826,7200,70.0,25.0,70.0,7359.5,191.59,37.52,101.80,23.98,10.59
827,7200,70.0,25.0,70.0,7430.0,191.50,42.55,102.37,24.84,11.20
828,7200,70.0,25.0,70.0,7335.2,191.15,42.67,101.67,25.44,10.66
829,7200,70.0,25.0,70.0,7347.5,190.54,39.30,101.05,24.39,11.53
830,7200,70.0,25.0,70.0,7088.3,191.40,43.40,101.85,25.72,12.18
831,7200,70.0,25.0,70.0,7351.5,190.62,39.81,100.99,24.34,11.90
832,7200,70.0,25.0,70.0,7355.3,191.17,42.23,101.16,24.79,11.47
833,7200,70.0,25.0,70.0,7356.3,190.39,39.36,101.16,24.89,11.87
834,7200,70.0,25.0,70.0,7246.8,190.85,38.23,101.12,24.48,11.75
835,7200,70.0,25.0,70.0,7458.7,190.28,40.66,100.74,25.48,10.96
836,7200,70.0,25.0,70.0,7284.8,190.48,40.45,100.74,25.21,11.42
837,7200,70.0,25.0,70.0,7303.6,190.47,38.78,101.03,24.65,11.93
838,7200,70.0,25.0,70.0,7247.2,191.06,43.18,101.62,26.41,10.69
839,7200,70.0,25.0,70.0,7233.2,190.30,38.93,100.94,24.17,11.51
840,7200,70.0,25.0,70.0,7428.3,190.82,41.33,101.26,24.50,11.55
841,7200,70.0,25.0,70.0,7223.6,190.99,41.58,101.57,24.92,11.73
842,7200,70.0,25.0,70.0,7348.0,190.99,41.89,101.67,25.57,11.11
843,7200,70.0,25.0,70.0,7464.7,191.14,39.95,101.88,24.15,12.26
844,7200,70.0,25.0,70.0,7267.6,190.56,40.42,101.71,24.88,11.39
845,7200,70.0,25.0,70.0,7256.9,190.32,42.34,101.19,26.16,11.19
846,7200,70.0,25.0,70.0,7294.5,191.34,42.10,101.68,25.58,11.22
847,7200,70.0,25.0,70.0,7403.3,190.36,40.79,100.99,25.34,11.67
848,7200,70.0,25.0,70.0,7360.8,190.90,41.78,101.12,25.21,11.48
849,7200,70.0,25.0,70.0,7384.9,190.19,42.31,100.96,25.13,11.36
850,7200,70.0,25.0,70.0,7304.4,190.46,41.57,101.21,25.01,11.09
851,7200,70.0,25.0,70.0,7363.1,190.64,40.70,101.10,24.26,11.66
852,7200,70.0,25.0,70.0,7250.4,190.65,39.64,101.08,24.45,11.98
853,7200,70.0,25.0,70.0,7268.3,190.35,39.70,101.04,25.32,11.15
854,7200,70.0,25.0,70.0,7195.7,191.37,40.98,101.96,24.74,12.02
855,7200,70.0,25.0,70.0,7359.5,190.42,39.06,100.87,24.69,11.07
856,7200,70.0,25.0,70.0,7419.5,191.50,38.51,101.43,24.18,10.78
857,7200,70.0,25.0,70.0,7363.8,189.97,40.63,100.94,25.41,12.17
858,7200,70.0,25.0,70.0,7324.6,190.79,43.32,101.04,25.41,11.25
859,7200,70.0,25.0,70.0,7242.9,191.71,40.22,101.89,25.13,10.87
860,7200,70.0,25.0,70.0,7289.1,190.33,41.38,100.90,24.40,9.95
861,7200,70.0,25.0,70.0,7271.3,190.70,39.89,101.03,25.26,11.64
862,7200,70.0,25.0,70.0,7427.9,190.54,42.93,101.42,25.06,12.72
863,7200,70.0,25.0,70.0,7301.7,190.22,39.91,100.89,24.53,10.45
864,7200,70.0,25.0,70.0,7231.9,191.90,41.57,101.75,25.22,11.90
865,7200,70.0,25.0,70.0,7207.9,190.69,40.55,100.96,24.88,12.01
866,7200,70.0,25.0,70.0,7420.9,191.01,41.39,101.77,25.28,11.94
867,7200,70.0,25.0,70.0,7435.3,190.63,43.07,100.90,25.25,11.18
868,7200,70.0,25.0,70.0,7340.6,190.94,41.16,101.59,25.50,12.05
869,7200,70.0,25.0,70.0,7392.1,190.85,41.51,101.34,25.51,11.85
870,7200,70.0,25.0,70.0,7285.4,190.72,42.46,100.96,25.74,11.74
871,7200,70.0,25.0,70.0,7387.7,190.84,43.04,101.82,25.07,11.09
872,7200,70.0,25.0,70.0,7355.5,190.69,39.91,101.01,24.29,11.12
873,7200,70.0,25.0,70.0,7346.3,190.56,40.68,100.62,25.16,12.39
874,7200,70.0,25.0,70.0,7354.6,190.98,42.09,101.40,25.80,10.86
875,7200,70.0,25.0,70.0,7383.4,190.95,39.81,101.47,24.68,10.48
876,7200,70.0,25.0,70.0,7322.2,190.26,42.66,100.97,25.25,10.88
877,7200,70.0,25.0,70.0,7303.7,190.78,39.62,101.14,24.48,11.75
878,7200,70.0,25.0,70.0,7335.0,190.37,40.32,100.89,24.54,12.27
879,7200,70.0,25.0,70.0,7440.8,190.59,40.56,101.25,24.24,12.11
880,7200,70.0,25.0,70.0,7420.9,191.84,39.89,102.44,25.10,12.61
881,7200,70.0,25.0,70.0,7397.1,191.35,38.00,101.68,24.93,12.25
882,7200,70.0,25.0,70.0,7266.7,190.64,41.90,101.40,25.43,11.62
883,7200,70.0,25.0,70.0,7315.8,190.31,39.81,100.85,24.95,12.54
884,7200,70.0,25.0,70.0,7254.4,190.84,40.91,101.27,25.74,11.39
885,7200,70.0,25.0,70.0,7339.9,191.33,41.53,101.72,25.08,12.59
886,7200,70.0,25.0,70.0,7300.4,190.38,42.33,101.07,25.52,11.79
887,7200,70.0,25.0,70.0,7377.4,191.18,41.00,101.52,25.05,11.78
888,7200,70.0,25.0,70.0,7461.9,190.50,40.97,101.11,24.14,11.43
889,7200,70.0,25.0,70.0,7368.8,190.12,40.57,100.59,25.30,11.79
890,7200,70.0,25.0,70.0,7294.3,190.93,39.62,101.51,23.41,11.56
891,7200,70.0,25.0,70.0,7435.1,190.41,43.20,100.77,25.20,11.02
892,7200,70.0,25.0,70.0,7463.4,190.64,42.41,101.31,25.25,11.18
893,7200,70.0,25.0,70.0,7354.6,190.42,41.82,101.31,24.43,11.17
894,7200,70.0,25.0,70.0,7178.9,190.79,41.02,101.34,25.49,10.83
895,7200,70.0,25.0,70.0,7326.8,190.66,40.88,101.25,25.62,12.11
896,7200,70.0,25.0,70.0,7410.0,191.18,41.72,101.99,24.80,12.21
897,7200,70.0,25.0,70.0,7322.4,190.58,39.15,100.77,25.00,11.16
898,7200,70.0,25.0,70.0,7225.3,190.86,42.74,100.98,25.27,10.97
899,7200,70.0,25.0,70.0,7406.9,190.98,42.33,101.48,25.43,11.59
900,7200,70.0,25.0,70.0,7231.8,190.88,43.64,101.33,25.99,10.87
901,7200,70.0,25.0,70.0,7317.6,191.20,40.46,101.84,24.93,11.70
902,7200,70.0,25.0,70.0,7279.1,189.77,38.65,100.82,23.80,12.23
903,7200,70.0,25.0,70.0,7320.4,191.11,41.10,101.29,25.66,11.93
904,7200,70.0,25.0,70.0,7372.5,190.30,40.11,100.52,25.06,11.62
905,7200,70.0,25.0,70.0,7332.1,190.56,41.39,101.37,24.91,11.95
906,7200,70.0,25.0,70.0,7425.0,190.48,41.01,100.87,25.62,11.80
907,7200,70.0,25.0,70.0,7287.2,191.61,42.94,101.72,25.14,12.31
908,7200,70.0,25.0,70.0,7400.2,190.98,40.37,101.42,24.66,10.30
909,7200,70.0,25.0,70.0,7461.4,191.47,41.06,101.64,25.67,11.40
910,7200,70.0,25.0,70.0,7352.6,191.00,39.65,101.73,23.82,10.86
911,7200,70.0,25.0,70.0,7351.8,190.74,39.79,101.69,25.14,12.99
912,7200,70.0,25.0,70.0,7434.2,190.66,38.89,101.49,23.93,10.93
913,7200,70.0,25.0,70.0,7307.6,190.58,41.18,100.84,25.21,10.01
914,7200,70.0,25.0,70.0,7366.7,191.34,39.46,101.69,25.07,11.58
915,7200,70.0,25.0,70.0,7297.3,190.72,38.34,101.11,24.64,11.11
916,7200,70.0,25.0,70.0,7457.8,191.49,40.43,101.79,24.97,11.83
917,7200,70.0,25.0,70.0,7432.9,190.21,42.26,100.91,25.58,11.24
918,7200,70.0,25.0,70.0,7392.6,190.72,41.24,101.52,25.14,12.49
919,7200,70.0,25.0,70.0,7376.6,191.02,39.70,101.49,25.26,10.63
920,7200,70.0,25.0,70.0,7357.3,190.82,38.80,101.46,24.00,11.82
921,7200,70.0,25.0,70.0,7311.0,190.25,41.06,101.04,25.13,11.40
922,7200,70.0,25.0,70.0,7360.2,190.93,42.79,101.36,24.69,11.15
923,7200,70.0,25.0,70.0,7298.6,189.87,42.44,100.68,25.46,11.63
924,7200,70.0,25.0,70.0,7289.4,190.63,38.49,101.44,25.54,11.27
925,7200,70.0,25.0,70.0,7227.7,191.24,43.46,101.82,25.62,11.77
926,7200,70.0,25.0,70.0,7405.7,190.33,41.76,101.00,25.20,10.70
927,7200,70.0,25.0,70.0,7431.7,190.27,41.08,100.89,25.13,12.44
928,7200,70.0,25.0,70.0,7349.9,189.92,41.82,100.77,25.57,11.88
929,7200,70.0,25.0,70.0,7229.7,191.51,40.69,101.79,25.39,11.86
930,7200,70.0,25.0,70.0,7439.0,190.50,39.59,101.20,24.61,10.30
931,7200,70.0,25.0,70.0,7316.3,190.65,42.64,101.21,25.25,12.30
932,7200,70.0,25.0,70.0,7408.8,190.59,41.50,101.38,25.37,12.05
933,7200,70.0,25.0,70.0,7471.7,191.26,39.66,101.61,25.04,11.70
934,7200,70.0,25.0,70.0,7170.5,190.41,43.43,101.13,25.31,10.88
935,7200,70.0,25.0,70.0,7300.5,190.57,40.72,101.05,24.93,11.20
936,7200,70.0,25.0,70.0,7380.5,190.56,39.49,100.97,25.29,12.45
937,7200,70.0,25.0,70.0,7452.0,190.92,39.89,101.52,25.13,12.45
938,7200,70.0,25.0,70.0,7289.5,190.29,41.66,101.20,24.85,11.26
939,7200,70.0,25.0,70.0,7296.0,190.59,42.91,101.36,25.67,11.90
940,7200,70.0,25.0,70.0,7481.1,191.20,40.31,101.38,23.95,12.34
941,7200,70.0,25.0,70.0,7200.3,190.49,43.08,100.92,25.52,10.40
942,7200,70.0,25.0,70.0,7456.6,191.00,40.65,101.36,24.94,12.27
943,7200,70.0,25.0,70.0,7269.4,190.60,42.61,101.06,24.42,10.66
944,7200,70.0,25.0,70.0,7323.3,190.12,44.53,100.94,25.64,11.66
945,7200,70.0,25.0,70.0,7297.2,190.80,41.73,101.59,25.67,11.75
946,7200,70.0,25.0,70.0,7273.8,190.22,42.19,101.22,25.01,10.39
947,7200,70.0,25.0,70.0,7345.4,190.50,41.01,101.11,24.95,11.67
948,7200,70.0,25.0,70.0,7365.1,190.21,42.02,100.63,25.60,10.44
949,7200,70.0,25.0,70.0,7357.3,190.68,42.68,101.49,25.04,12.47
950,7200,70.0,25.0,70.0,7393.3,190.94,42.56,101.50,24.80,12.08
951,7200,70.0,25.0,70.0,7360.4,191.02,40.08,101.09,25.52,12.15
952,7200,70.0,25.0,70.0,7407.7,190.29,41.56,101.41,24.27,11.04
953,7200,70.0,25.0,70.0,7364.4,189.81,43.15,100.77,25.96,11.42
954,7200,70.0,25.0,70.0,7223.7,190.61,41.20,101.02,25.59,11.79
955,7200,70.0,25.0,70.0,7310.9,191.81,40.69,102.02,24.98,12.35
956,7200,70.0,25.0,70.0,7382.1,190.84,41.89,101.45,24.54,11.25
957,7200,70.0,25.0,70.0,7341.6,190.61,40.24,101.16,24.91,11.94
958,7200,70.0,25.0,70.0,7335.2,191.36,41.13,101.65,25.61,11.90
959,7200,70.0,25.0,70.0,7294.4,190.56,41.63,101.29,24.76,11.29
960,7200,70.0,25.0,70.0,7428.6,191.23,40.63,101.64,24.39,12.18
961,7200,70.0,25.0,70.0,7179.5,190.24,42.54,101.09,24.82,11.95
962,7200,70.0,25.0,70.0,7355.9,190.46,43.09,101.64,25.97,11.26
963,7200,70.0,25.0,70.0,7460.1,190.90,41.18,101.56,25.23,11.35
964,7200,70.0,25.0,70.0,7535.1,189.98,40.19,100.48,24.30,11.08
965,7200,70.0,25.0,70.0,7299.9,190.54,41.87,101.09,24.69,11.19
966,7200,70.0,25.0,70.0,7288.3,191.77,44.14,102.05,25.13,11.12
967,7200,70.0,25.0,70.0,7214.7,190.83,42.23,100.98,24.69,11.12
968,7200,70.0,25.0,70.0,7398.3,190.55,43.27,100.98,25.60,11.72
969,7200,70.0,25.0,70.0,7412.7,189.81,40.76,100.24,25.02,11.10
970,7200,70.0,25.0,70.0,7324.5,191.83,40.05,101.76,24.90,12.63
971,7200,70.0,25.0,70.0,7364.4,190.16,42.04,101.09,25.21,12.01
972,7200,70.0,25.0,70.0,7361.9,191.17,42.78,101.52,25.26,12.01
973,7200,70.0,25.0,70.0,7504.7,190.81,40.64,101.09,24.71,11.07
974,7200,70.0,25.0,70.0,7354.2,190.60,42.50,100.91,25.34,11.48
975,7200,70.0,25.0,70.0,7357.9,189.89,42.36,101.22,24.62,11.01
976,7200,70.0,25.0,70.0,7284.2,191.55,40.55,102.36,24.75,10.30
977,7200,70.0,25.0,70.0,7419.4,190.38,38.42,100.73,24.88,11.99
978,7200,70.0,25.0,70.0,7361.6,190.93,40.30,101.16,25.29,11.67
979,7200,70.0,25.0,70.0,7363.5,190.14,44.08,100.97,25.20,11.48
980,7200,70.0,25.0,70.0,7344.4,190.29,40.55,100.88,24.90,11.11
981,7200,70.0,25.0,70.0,7379.9,190.93,41.22,101.07,26.02,11.28
982,7200,70.0,25.0,70.0,7510.8,190.79,41.53,101.53,24.71,10.52
983,7200,70.0,25.0,70.0,7341.8,190.82,39.74,101.42,24.92,12.58
984,7200,70.0,25.0,70.0,7323.6,191.14,41.39,101.13,25.52,11.76
985,7200,70.0,25.0,70.0,7188.4,190.57,42.57,101.16,25.15,12.69
986,7200,70.0,25.0,70.0,7435.8,192.02,40.60,102.23,25.01,10.38
987,7200,70.0,25.0,70.0,7383.7,190.54,38.95,100.86,24.79,11.75
988,7200,70.0,25.0,70.0,7294.1,190.67,42.60,100.93,25.90,11.76
989,7200,70.0,25.0,70.0,7531.1,190.25,41.16,100.88,25.03,11.38
990,7200,70.0,25.0,70.0,7390.5,190.72,38.42,101.53,24.40,10.89
991,7202,70.1,24.9,70.1,7366.4,190.52,42.07,101.19,25.29,11.74
992,7205,70.2,24.8,70.2,7326.3,190.48,39.24,101.29,24.08,11.05
993,7207,70.2,24.8,70.2,7369.8,190.73,40.36,101.23,24.35,11.74
994,7210,70.3,24.7,70.3,7476.4,191.42,40.89,101.63,25.19,11.80
995,7212,70.4,24.6,70.4,7412.9,190.59,41.68,100.53,24.74,10.18
996,7215,70.5,24.5,70.5,7371.2,190.37,41.74,100.62,25.09,11.59
997,7217,70.6,24.4,70.6,7379.3,191.27,40.07,101.82,24.83,11.23
998,7220,70.7,24.3,70.7,7495.6,191.86,41.04,101.73,25.04,11.02
999,7222,70.7,24.3,70.7,7567.3,190.92,41.09,100.94,25.20,11.85
1000,7225,70.8,24.2,70.8,7528.1,192.22,39.01,101.62,24.29,10.90
1001,7227,70.9,24.1,70.9,7627.2,190.56,42.50,100.66,25.42,12.62
1002,7230,71.0,24.0,71.0,7437.0,191.65,42.10,101.71,24.82,12.17
1003,7232,71.1,23.9,71.1,7627.0,190.61,42.38,100.74,24.57,12.75
1004,7235,71.2,23.8,71.2,7650.1,192.23,42.13,101.44,25.22,11.90
1005,7237,71.2,23.8,71.2,7514.3,192.32,40.82,101.84,25.04,11.84
1006,7240,71.3,23.7,71.3,7675.1,191.84,40.03,101.48,25.16,11.98
1007,7242,71.4,23.6,71.4,7511.7,191.77,39.10,101.30,24.59,11.98
1008,7245,71.5,23.5,71.5,7781.0,192.58,42.49,101.54,25.19,12.70
1009,7247,71.6,23.4,71.6,7719.8,192.42,41.69,102.21,24.83,10.77
1010,7250,71.7,23.3,71.7,7744.9,192.24,42.75,101.33,25.53,12.17
1011,7252,71.7,23.3,71.7,7754.2,192.22,40.95,101.42,25.51,12.03
1012,7255,71.8,23.2,71.8,7735.3,192.38,40.08,101.41,24.87,11.23
1013,7257,71.9,23.1,71.9,7854.4,192.17,41.95,101.54,24.70,11.88
1014,7260,72.0,23.0,72.0,7919.6,193.47,41.91,102.18,25.17,12.47
1015,7262,72.1,22.9,72.1,7882.1,191.57,42.04,101.16,25.43,12.18
1016,7265,72.2,22.8,72.2,7837.9,191.70,41.69,101.02,25.54,11.36
1017,7267,72.2,22.8,72.2,7897.6,192.19,43.20,101.46,25.87,10.94
1018,7270,72.3,22.7,72.3,7943.4,193.85,41.16,101.93,24.76,11.04
1019,7272,72.4,22.6,72.4,8027.1,192.56,41.77,101.49,24.46,12.96
1020,7275,72.5,22.5,72.5,7803.1,192.46,41.67,101.44,25.45,10.36
1021,7277,72.6,22.4,72.6,7857.2,193.33,40.37,101.85,24.94,11.71
1022,7280,72.7,22.3,72.7,7996.0,192.86,40.14,101.20,24.69,11.09
1023,7282,72.7,22.3,72.7,8037.9,192.30,43.28,100.92,24.85,12.27
1024,7285,72.8,22.2,72.8,8029.7,191.98,41.99,100.74,25.15,12.14
1025,7287,72.9,22.1,72.9,8131.8,191.40,42.09,100.83,24.44,12.42
1026,7290,73.0,22.0,73.0,8008.0,192.84,39.40,101.43,25.01,12.06
1027,7292,73.1,21.9,73.1,8001.9,192.15,42.52,101.06,24.97,12.44
1028,7295,73.2,21.8,73.2,8147.6,192.82,41.58,101.40,23.99,11.59
1029,7297,73.2,21.8,73.2,8067.7,192.71,42.41,100.98,25.62,12.31
1030,7300,73.3,21.7,73.3,8144.1,192.38,43.43,101.17,25.53,11.71
1031,7302,73.4,21.6,73.4,8185.5,192.24,39.79,101.03,24.74,10.85
1032,7305,73.5,21.5,73.5,8130.4,192.54,40.27,100.90,23.67,11.61
1033,7307,73.6,21.4,73.6,8137.0,193.31,41.72,101.65,25.15,12.33
1034,7310,73.7,21.3,73.7,8265.7,192.97,41.18,101.30,25.35,12.50
1035,7312,73.7,21.3,73.7,8154.1,193.09,40.56,101.07,24.80,11.58
1036,7315,73.8,21.2,73.8,8272.1,193.22,42.40,101.42,24.85,12.60
1037,7317,73.9,21.1,73.9,8410.5,192.57,39.49,100.53,24.02,11.99
1038,7320,74.0,21.0,74.0,8237.4,191.80,42.02,100.31,24.64,11.12
1039,7322,74.1,20.9,74.1,8248.8,194.05,42.47,101.79,24.70,12.16
1040,7325,74.2,20.8,74.2,8224.6,192.88,41.58,101.01,24.46,12.73
1041,7327,74.2,20.8,74.2,8363.3,193.36,41.91,101.57,24.96,12.75
1042,7330,74.3,20.7,74.3,8428.4,194.04,43.66,101.40,25.81,12.60
1043,7332,74.4,20.6,74.4,8289.3,194.38,41.39,101.96,24.66,12.41
1044,7335,74.5,20.5,74.5,8508.2,193.84,41.65,101.07,24.43,12.36
1045,7337,74.6,20.4,74.6,8462.8,193.06,40.89,100.99,25.03,13.12
1046,7340,74.7,20.3,74.7,8373.2,193.70,44.91,101.64,25.30,12.17
1047,7342,74.7,20.3,74.7,8533.1,194.02,39.64,101.76,24.36,11.50
1048,7345,74.8,20.2,74.8,8614.3,193.16,41.97,100.96,24.81,12.76
1049,7347,74.9,20.1,74.9,8552.7,193.98,43.31,101.17,24.61,12.61
1050,7350,75.0,20.0,75.0,8498.9,193.52,40.69,100.66,24.77,11.76
1051,7352,75.1,19.9,75.1,8596.0,194.24,43.94,101.50,25.03,11.51
1052,7355,75.2,19.8,75.2,8642.4,193.60,42.13,100.77,25.29,12.58
1053,7357,75.2,19.8,75.2,8590.5,193.79,44.23,101.49,25.44,12.96
1054,7360,75.3,19.7,75.3,8496.3,194.92,43.10,102.09,25.59,13.17
1055,7362,75.4,19.6,75.4,8606.0,193.95,41.15,100.98,24.88,13.21
1056,7365,75.5,19.5,75.5,8652.9,194.40,38.83,101.42,24.89,11.21
1057,7367,75.6,19.4,75.6,8740.5,194.88,44.21,102.18,24.99,12.36
1058,7370,75.7,19.3,75.7,8653.1,194.14,40.70,101.42,24.57,12.35
1059,7372,75.7,19.3,75.7,8762.8,194.19,45.17,101.10,25.60,11.94
1060,7375,75.8,19.2,75.8,8843.0,193.78,42.96,100.91,24.14,12.12
1061,7377,75.9,19.1,75.9,8885.4,193.29,40.68,100.88,25.85,11.77
1062,7380,76.0,19.0,76.0,8692.0,194.44,42.10,101.34,25.67,12.88
1063,7382,76.1,18.9,76.1,8797.1,194.92,41.01,101.87,25.09,11.92
1064,7385,76.2,18.8,76.2,8713.2,194.86,41.32,101.67,25.10,13.22
1065,7387,76.2,18.8,76.2,8902.4,194.37,42.78,100.63,23.92,12.43
1066,7390,76.3,18.7,76.3,8821.6,194.60,44.51,101.43,25.26,13.18
1067,7392,76.4,18.6,76.4,8782.6,194.86,41.88,101.80,24.89,13.21
1068,7395,76.5,18.5,76.5,8748.2,195.06,42.20,101.72,24.18,12.23
1069,7397,76.6,18.4,76.6,9045.6,194.63,40.29,101.62,24.81,12.00
1070,7400,76.7,18.3,76.7,9010.6,194.66,41.81,101.55,24.89,13.31
1071,7402,76.7,18.3,76.7,8934.2,194.04,43.10,100.82,25.33,12.15
1072,7405,76.8,18.2,76.8,8877.9,195.25,40.22,101.50,23.68,13.02
1073,7407,76.9,18.1,76.9,9052.8,194.99,40.97,101.65,25.12,11.57
1074,7410,77.0,18.0,77.0,9143.0,195.48,40.39,101.26,25.42,12.75
1075,7412,77.1,17.9,77.1,9293.3,196.01,42.01,101.64,25.98,12.80
1076,7415,77.2,17.8,77.2,9086.8,195.47,39.27,101.81,24.24,12.97
1077,7417,77.2,17.8,77.2,9157.2,194.96,42.21,101.23,24.57,12.57
1078,7420,77.3,17.7,77.3,9220.6,195.14,43.79,100.65,25.59,11.36
1079,7422,77.4,17.6,77.4,9330.3,194.87,43.79,100.73,25.58,13.05
1080,7425,77.5,17.5,77.5,9084.4,195.18,41.69,101.37,24.74,13.13
1081,7427,77.6,17.4,77.6,9231.5,195.73,40.59,101.63,24.77,12.35
1082,7430,77.7,17.3,77.7,9327.1,195.61,39.38,101.22,24.19,12.03
1083,7432,77.7,17.3,77.7,9114.2,195.46,43.04,101.24,25.30,12.34
1084,7435,77.8,17.2,77.8,9285.8,194.96,41.01,101.16,24.97,12.85
1085,7437,77.9,17.1,77.9,9198.8,195.65,41.18,101.15,26.42,14.14
1086,7440,78.0,17.0,78.0,9256.7,194.83,42.61,100.76,25.37,12.33
1087,7442,78.1,16.9,78.1,9297.1,195.58,42.31,101.00,25.63,12.30
1088,7445,78.2,16.8,78.2,9458.6,194.82,41.75,100.38,25.19,12.42
1089,7447,78.2,16.8,78.2,9246.9,196.05,42.43,101.43,25.25,13.53
1090,7450,78.3,16.7,78.3,9293.2,195.16,44.21,101.29,24.79,11.98
1091,7452,78.4,16.6,78.4,9413.0,196.13,41.72,101.27,25.34,13.78
1092,7455,78.5,16.5,78.5,9457.7,196.89,39.75,101.76,24.51,13.10
1093,7457,78.6,16.4,78.6,9582.0,196.10,43.87,101.31,24.95,10.98
1094,7460,78.7,16.3,78.7,9493.7,196.12,43.05,101.40,24.51,12.10
1095,7462,78.7,16.3,78.7,9461.0,196.06,42.59,101.76,25.16,13.07
1096,7465,78.8,16.2,78.8,9462.3,196.69,44.42,101.53,24.85,12.14
1097,7467,78.9,16.1,78.9,9624.5,196.61,41.08,101.78,24.53,13.75
1098,7470,79.0,16.0,79.0,9483.6,195.31,43.13,100.93,25.75,12.60
1099,7472,79.1,15.9,79.1,9680.4,195.07,41.66,100.47,25.15,13.85
1100,7475,79.2,15.8,79.2,9623.3,195.83,42.31,101.06,25.65,14.46
1101,7477,79.2,15.8,79.2,9395.0,195.23,43.48,100.75,24.63,12.74
1102,7480,79.3,15.7,79.3,9687.0,196.10,43.33,101.05,25.68,12.81
1103,7482,79.4,15.6,79.4,9905.1,197.70,42.58,102.19,24.63,13.59
1104,7485,79.5,15.5,79.5,9623.5,196.56,41.75,101.41,25.18,13.02
1105,7487,79.6,15.4,79.6,9796.1,196.16,43.53,101.31,25.42,11.95
1106,7490,79.7,15.3,79.7,9643.8,196.84,43.97,101.08,25.50,13.30
1107,7492,79.7,15.3,79.7,9843.7,195.89,41.76,100.47,24.36,12.07
1108,7495,79.8,15.2,79.8,9811.9,196.56,42.20,101.51,24.52,13.51
1109,7497,79.9,15.1,79.9,9815.5,196.55,41.43,101.02,24.89,12.14
1110,7500,80.0,15.0,80.0,9841.3,196.46,42.19,100.97,23.99,12.66
1111,7500,80.0,15.0,80.0,9863.0,197.90,41.30,101.90,25.33,12.95
1112,7500,80.0,15.0,80.0,9914.4,196.98,43.40,101.41,25.41,13.73
1113,7500,80.0,15.0,80.0,9832.4,196.46,42.68,101.02,24.99,12.70
1114,7500,80.0,15.0,80.0,9934.1,196.54,43.49,101.17,25.21,14.06
1115,7500,80.0,15.0,80.0,9779.3,197.05,41.98,101.14,24.28,12.66
1116,7500,80.0,15.0,80.0,9699.7,197.50,43.03,102.09,25.12,12.98
1117,7500,80.0,15.0,80.0,9873.9,196.86,42.11,101.43,24.95,13.27
1118,7500,80.0,15.0,80.0,9765.7,196.29,40.79,100.69,25.88,12.44
1119,7500,80.0,15.0,80.0,9741.8,195.49,43.09,100.51,24.52,12.78
1120,7500,80.0,15.0,80.0,9859.5,196.91,42.49,101.23,25.24,14.58
1121,7500,80.0,15.0,80.0,9887.6,196.84,40.37,101.47,24.57,12.23
1122,7500,80.0,15.0,80.0,9836.9,196.71,43.29,101.36,24.82,12.88
1123,7500,80.0,15.0,80.0,9868.2,197.10,38.86,101.42,24.62,11.83
1124,7500,80.0,15.0,80.0,9837.4,196.50,40.38,101.07,24.14,13.07
1125,7500,80.0,15.0,80.0,9701.6,196.05,42.86,100.87,25.96,12.93
1126,7500,80.0,15.0,80.0,9760.3,196.43,41.73,100.99,24.42,12.31
1127,7500,80.0,15.0,80.0,9815.3,196.01,41.55,100.98,24.21,12.38
1128,7500,80.0,15.0,80.0,9852.7,196.87,41.82,101.24,25.41,12.31
1129,7500,80.0,15.0,80.0,9895.9,197.07,41.93,101.64,24.97,12.91
1130,7500,80.0,15.0,80.0,9946.6,196.85,44.98,101.14,25.21,12.57
1131,7500,80.0,15.0,80.0,9591.5,196.78,43.21,101.62,25.28,12.63
1132,7500,80.0,15.0,80.0,9653.0,196.74,39.98,101.60,24.91,13.36
1133,7500,80.0,15.0,80.0,9881.1,196.43,40.41,101.07,25.00,13.28
